Nombre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Total,Total2,Absorcion,Total Acumulado,Absorcion Acumulada,Clasificacion
CASETAS DE PEAJE,2676.65,5712.16,413.79,,,,8802.6,,0.01679727584800624,52393016.220000006,99.97727330066175,C
TELEFONÍA LOCAL,1499.34,1493.58,1493.97,1493.58,1493.58,0.0,7474.05,,0.01426211341555802,52400490.27,99.9915354140773,C
CONSUMIBLES EQUIPO DE COMPUTO,0.0,0.0,0.0,,2951.37,0.0,2951.37,,0.005631856044751569,52403441.64,99.99716727012205,C
MANTENIMIENTO Y REPARACION EQUIPO DE OFICINA,0.0,1157.76,0.0,,102.59,224.14,1484.4899999999998,,0.0028327298779459225,52404926.13,100.0,C
RENTA DE AUTO,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
MANTENIMIENTO Y REPARACION EQUIPO DE COMPUTO,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
DONATIVOS,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
COMBUSTIBLES Y LUBRICANTES EQ DE TRANSPORTE (NO DEDUCIBLE),0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
HOSPEDAJE,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
ESTACIONAMIENTOS,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
ESTUDIOS SOCIOECONOMICOS,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
INTERESES COMPRA VEHICULOS,0.0,0.0,0.0,,,,0.0,,0.0,52404926.13,100.0,C
Total,10330253.57,8046743.340000001,7272116.5,8715776.76,9012073.1,9027962.86,,52404926.13,0.0,,,
